no,category,title,author,date,views,url,page
252,일반자료,2026년 창업진흥원 기관 영문 홍보물,홍보팀,2026/04/17,238,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4467&tag=&nPage=1,1
251,일반자료,2026년 창업진흥원 기관 홍보물,홍보팀,2026/04/17,361,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4466&tag=&nPage=1,1
250,창업 연구자료,[2025년 창업진흥원 연구용역 결과보고서] 2025년 1인 창조기업 실태조사,이혜빈,2026/04/07,432,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4457&tag=&nPage=1,1
249,창업 통계자료,[2025년 창업진흥원 연구용역 결과보고서] 2025년 창업지원기업 이력·성과 조사,데이터분석팀,2026/01/20,750,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4371&tag=&nPage=1,1
248,창업 통계자료,[2025년 창업진흥원 연구용역 결과보고서] 2025년 창업기업실태조사,데이터분석팀,2026/01/20,"1,131",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4370&tag=&nPage=1,1
247,일반자료,(데이터 개방) AI 친화·고가치 데이터_1인 창업기업 특성별 업력 상세정보,디지털전환팀,2025/10/30,"1,080",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4315&tag=&nPage=1,1
246,일반자료,"2024년, 2025년 초격차 스타트업 1000+ 프로젝트 창업기업 디렉토리북",딥테크육성팀,2025/10/21,"3,989",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4303&tag=&nPage=1,1
245,창업 연구자료,[2024년 창업진흥원 연구용역 결과보고서] 재창업 지원기업 실태조사(2024),리챌린지팀,2025/09/24,"1,297",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4285&tag=&nPage=1,1
244,일반자료,"2025년 창업진흥원 기관 영문 홍보물(브로슈어, 리플렛)",대외협력팀,2025/07/23,730,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4228&tag=&nPage=1,1
243,일반자료,"2025년 창업진흥원 기관 홍보물(브로슈어, 리플렛)",대외협력팀,2025/07/23,"1,124",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4227&tag=&nPage=1,1
242,창업 연구자료,[2024년 창업진흥원 연구용역 결과보고서] 1인 창조기업 육성에 관한 법률 개정 검토 연구용역,지역허브팀,2024/12/03,624,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4108&tag=&nPage=2,2
241,창업 연구자료,[2024년 창업진흥원 연구용역 결과보고서] 2024년 1인 창조기업 실태조사,지역허브팀,2025/02/28,"2,722",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4107&tag=&nPage=2,2
240,창업 연구자료,지역기반 스타트업 클러스터 조성전략 수립 연구용역,지역창업실,2024/04/23,694,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4077&tag=&nPage=2,2
239,창업 연구자료,창업지원 3개년('24~'26) 계획 수립방안,창업규제정책실,2024/06/30,"1,330",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4075&tag=&nPage=2,2
238,일반자료,[주샌프란시스코총영사관] 스타트업 실리콘밸리 진출 가이드북,대외협력팀,2025/02/14,"2,440",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4032&tag=&nPage=2,2
237,창업 연구자료,[2024년 창업진흥원 연구용역 결과보고서] 2024년 창업기업실태조사,정책개발팀,2025/01/15,"8,200",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4017&tag=&nPage=2,2
236,창업 연구자료,[2024년 창업진흥원 연구용역 결과보고서] 2024년 창업지원기업 이력·성과 조사,정책개발팀,2025/01/15,"2,479",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4016&tag=&nPage=2,2
235,창업 연구자료,[2024년 창업진흥원 연구용역 결과보고서] 2024년 대학 창업인프라 실태조사,정책개발팀,2025/01/07,"2,474",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4008&tag=&nPage=2,2
234,창업 연구자료,[2024년 창업진흥원 연구용역 결과보고서] 글로벌 기업가정신 연구(GEM) 2023-2024,정책개발팀,2024/12/09,"1,636",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=3998&tag=&nPage=2,2
233,창업 연구자료,[2023년 창업진흥원 연구용역 결과보고서] 주요 창업·벤처 정책이슈 실태조사,창업규제정책실,2024/09/19,"1,547",https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=3920&tag=&nPage=2,2
232,창업 연구자료,중장년 기술창업센터 평가지표 개발 및 만족도 평가 연구용역,지역창업실,2024/03/25,560,https://www.kised.or.kr/board.es?mid=a10309000000&bid=0008&act=view&list_no=4072&tag=&nPage=3,3
