번호,주관기관명,기관구분,주소
1,가톨릭관동대학교,대학,강원도 강릉시 범일로 579번길 24 
2,건국대학교,대학,서울시 광진구 능동로 120 
3,경기대학교,대학,경기도 수원시 영통구 광교산로 154-42 
4,경남창조경제혁신센터,민간,경남 창원시 의창구 창원대로 18번길 46
5,경북창조경제혁신센터,민간,경북 구미시 구미대로 350-27 
6,계명대학교,대학,대구광역시 남구 명덕로 104 
7,고려대학교 세종산학협력단,대학,세종특별자치시 조치원읍 세종로2511
8,광운대학교,대학,서울시 노원구 광운로 20
9,광주창조경제혁신센터,민간,광주광역시 서구 경열로17번길 12
10,대구창조경제혁신센터,민간,대구광역시 북구 호암로 51
11,대전창조경제혁신센터,민간,대전광역시 유성구 대학로 291
12,동국대학교,대학,서울특별시 중구 퇴계로36길 2 
13,벤처기업협회,민간,서울특별시 구로구 디지털로30길 28
14,부산창조경제혁신센터,민간,부산광역시 해운대구 센텀중앙로 78
15,서울과학기술대학교,대학,서울특별시 노원구 공릉로 232
16,서울대학교(시흥),대학,경기도 시흥시 서울대학로 173
17,수원대학교,대학,경기도 화성시 봉담읍 와우리 17
18,연세대학교,대학,서울특별시 서대문구 연세로50
19,울산창조경제혁신센터,민간,울산광역시 남구 대학로 93
20,인천대학교,대학,인천광역시 연수구 갯벌로12
21,인하대학교,대학,인천광역시 미추홀구 인하로 100
22,전남창조경제혁신센터,민간,전라남도 여수시 덕충2길 32
23,전북창조경제혁신센터,민간,전북 전주시 덕진구 오공로 123
24,제주창조경제혁신센터,민간,제주특별자치도 제주시 중앙로 217
25,충북창조경제혁신센터,민간,충청북도 청주시 상당구 사직대로362번길 20
26,한국여성벤처협회,민간,서울특별시 강남구 역삼로 165 해성빌딩(팁스타운S1) 
27,한밭대학교,대학,대전광역시 유성구 동서대로 125
