구분,기관명,전담 대기업,출범일,지역,주소,특화분야 및 중점기능,데이터 기준일
1,강원창조경제혁신센터,네이버,2015-05-11,강원,강원특별자치도 춘천시 후석로 462번길7 춘천ICT벤처센터 5층,"· 푸드테크, 기후테크",2026-06-04
2,경기창조경제혁신센터,KT,2015-03-30,경기,"경기도 성남시 분당구 대왕판교로645번길 12(1층, 5층)","· AI, 기후테크",2026-06-04
3,경남창조경제혁신센터,두산,2015-04-09,경남,경남 창원시 의창구 창원대로18번길 46 경남창원과학기술진흥원 2층,"· 우주항공, 원전",2026-06-04
4,경북창조경제혁신센터,삼성,2014-12-17,경북,경북 구미시 구미대로 350-27 모바일융합센터 2층,"· 소재부품, 미래모빌리티",2026-06-04
5,광주창조경제혁신센터,현대차,2015-01-27,광주,광주광역시 북구 자미로6번길 45,"· AI·빅데이터, 친환경 모빌리티",2026-06-04
6,대구창조경제혁신센터,삼성,2014-09-15,대구,대구광역시 북구 호암로 51 ,"· ABB(AI, Bigdata, Blockchain), 로봇",2026-06-04
7,대전창조경제혁신센터,SK,2014-10-10,대전,대전 유성구 궁동로2번길 81 대전스타트업파크 본부4층,"· 우주, 국방",2026-06-04
8,부산창조경제혁신센터,롯데,2015-03-16,부산,부산시 해운대구 센텀중앙로 78 센텀그린타워 3~4층,"· 스마트해양, 핀테크",2026-06-04
9,서울창조경제혁신센터,CJ,2015-07-17,서울,"서울시 용산구 한강대로 69, 5층","· D.N.A(Digital, Network, AI), 인구테크 ",2026-06-04
10,세종창조경제혁신센터,SK,2015-06-30,세종,세종특별자치시 조치원읍 군청로 93 SB플라자 3층,"· AI·빅데이터, 기능성 바이오",2026-06-04
11,울산창조경제혁신센터,현대중,2015-07-15,울산,울산 남구 봉월로38번길32 종하이노베이션센터 4~6층,"· 스마트 조선·해양, 친환경 에너지(수소, 이차전지)",2026-06-04
12,인천창조경제혁신센터,"한진, KT",2015-07-22,인천,인천 연수구 갯벌로 12  미추홀타워 7층(송도동),"· 바이오?헬스케어, 빅데이터?AI",2026-06-04
13,전남창조경제혁신센터,GS,2015-06-02,전남,전라남도 여수시 덕충 2길 32(덕충동) ,"· 석유화학, 조선 및 2차전지 ",2026-06-04
14,전북창조경제혁신센터,효성,2014-11-24,전북,전북 전주시 덕진구 오공로 123 전북테크비즈센터 4~5층,"· 기후테크, 핀테크·AI",2026-06-04
15,제주창조경제혁신센터,카카오,2015-06-26,제주,"제주특별자치도 제주시 중앙로 217 제주벤처마루 3,4층","· 우주·항공, 에너지 ",2026-06-04
16,충남창조경제혁신센터,한화,2015-05-22,충남,충남 아산시 배방읍 희망로 100 KTX 천안아산역사 2층,"· 제조융합(모빌리티, 반도체, 디스플레이), 기후테크(친환경, 그린)",2026-06-04
17,충북창조경제혁신센터,LG,2015-02-04,충북,충청북도 청주시 흥덕구 오송읍 오송생명1로 194-25 (청주SB플라자) 2~3층,"· 바이오, 이차전지",2026-06-04
18,포항창조경제혁신센터(민간),포스코,2015-01-30,"포항,광양 (민간)",경북 포항시 남구 지곡로 80 포항창조경제혁신센터(C5),"· 전력, 에너지신산업(전력 ICT, 신재생발전, 전력기자재 등)",2026-06-04
19,빛가람창조경제혁신센터(민간),한전,2017-02-08,나주(민간),전라남도 나주시 그린로 370  에너지밸리기업개발원 2층 빛가람창조경제혁신센터,"· 에너지, 환경, 소재, ICT, 바이오",2026-06-04
