연번,지역,지역 시군구,센터명,사업자 구분,지정일,주력보육분야,주소,특화분야,입주기업 전체 개수,보육실 전체 개수,입주율,센터등급
1,서울특별시,동작구,Creative Business Center(중앙대),대학,2020-05-19,"바이오, 의학, ICT, 문화예술, 소셜벤처","06974서울특별시 동작구 흑석로 84, 중앙대학교 102관 1001호 (흑석동)중앙대학교 102관 1001호",문화컨텐츠,7,13,91.0,70점 이상
2,서울특별시,관악구,S-INNOVATION(에스이노베이션),대학,2013-09-23,IT융복합분야,08826서울특별시 관악구 관악로 1서울대 연구공원본관 2층 226호,IT,11,31,94.7,
3,서울특별시,강남구,TIPS타운(팁스타운),공공기관·협단체,2017-05-18,TIPS프로그램,06247서울특별시 강남구 역삼로 165(역삼동)3층 팁스타운 기획본부,특화BI ,73,79,85.3,
4,서울특별시,광진구,건국대학교 창업보육센터,대학,1999-05-01,정보통신 및 컴퓨터 바이오,"05029서울특별시 광진구 능동로 120, 건국대학교 창의관 210호 (화양동)건국대학교 창의관 210호",특화BI ,18,21,78.7,70점 미만
5,서울특별시,동대문구,경희창업보육센터(서울),대학,2000-04-27,"바이오, IT",02447서울특별시 동대문구 경희대로 26경희대학교 창업보육센터(네오르네상스관 205호),IT,19,23,88.4,70점 이상
6,서울특별시,성북구,고려대학교 크림슨창업지원단,대학,1999-08-05,정보통신공학기술,02841서울특별시 성북구 안암로 145 (안암동5가)고려대학교 CJ식품안전관 103호,특화BI ,11,14,94.8,70점 이상
7,서울특별시,노원구,광운창업지원센터,대학,2020-02-03,"ICT, 에너지바이오, 문화콘텐츠","01886서울특별시 노원구 석계로18길 23(월계동, 삼능스페이스향)3층, KW-TIB","IT, 앱개발",15,26,74.8,70점 이상
8,서울특별시,성북구,국민대창업보육센터,대학,1999-08-05,디자인분야,02707서울특별시 성북구 정릉로 77(정릉동),특화BI ,10,15,81.7,70점 미만
9,서울특별시,강남구,글로벌벤처센터,민간기관,2012-05-09,"IT, SW, 모바일앱",06258서울특별시 강남구 도곡로 112서한빌딩 2층 (도곡동),IT,21,30,84.4,70점 이상
10,서울특별시,종로구,덴탈메디케어 창업보육센터,대학,2012-04-30,"치과의약바이오, 의료기기, 의약품, 바이오소재",03080서울특별시 종로구 대학로 101(연건동)서울대학교 치의학대학원 덴탈메디케어 창업보육센터,바이오,4,11,32.4,
11,서울특별시,중구,동국대학교 창업보육센터,대학,1999-02-27,"플랫폼, AI","04626서울특별시 중구 퇴계로36길 2, 동국대학교 충무로관 본관 820호 (필동2가)동국대학교 충무로관 본관 820호",특화BI ,14,25,97.0,70점 이상
12,서울특별시,마포구,마포비즈니스센터,정부·지자체,2008-12-24,정보통신 및 전기전자,03911서울특별시 마포구 매봉산로 18 (상암동)상암동,특화BI ,13,20,79.5,70점 이상
13,서울특별시,중구,비채나 창업보육센터,민간기관,2021-07-06,"메타버스,패션테크,AI,IoT,AR,VR,ICT융복합","04564서울특별시 중구 장충단로 247, 4층 (을지로6가)4층",인큐베이팅펀드,14,16,92.1,
14,서울특별시,노원구,삼육대학교창업보육센터,대학,2000-04-27,교육용멀티미디어,01795서울특별시 노원구 화랑로 815(공릉동) 제1실습관 5층 5019호,특화BI ,16,20,88.3,70점 이상
15,서울특별시,마포구,서강비즈니스센터,대학,1999-08-05,정보처리 및 기타 컴퓨터 운영 관련업 전자부품 영상 음향 및통신장비제조업,04107서울특별시 마포구 백범로 35(신수동) 서강대학교 떼이야르관 503호,특화BI ,11,16,96.8,70점 이상
16,서울특별시,서대문구,서대문구-서울시립대학교 창업지원센터,대학,1999-08-05,"IT정보통신,환경,소셜,디지털",03628서울특별시 서대문구 통일로 484공유캠퍼스 23층 창업지원센터,특화BI ,32,39,75.4,70점 이상
17,서울특별시,노원구,서울과학기술대창업보육센터,대학,1999-02-26,"IT,소프트,콘텐츠,NT,BT",01811서울특별시 노원구 공릉로 232(공릉동) 서울과학기술대학교 테크노(62번건물) 3층 302호 창업지원단,특화BI ,28,33,83.2,70점 이상
18,서울특별시,노원구,서울여자대학교 창업보육센터,대학,2013-04-01,"지식서비스분야(CT, IT, 디자인 등)","01797서울특별시 노원구 화랑로 621, 서울여자대학교 고명우기념관 312호 창업보육센터 행정실 (공릉동)서울여자대학교 고명우기념관 312호 창업보육센터 행정실",특화BI ,11,12,91.5,70점 미만
19,서울특별시,성북구,성북구한성대벤처창업지원센터_SHBI,대학,2001-03-12,"정보통신, 플랫폼 개발","02772서울특별시 성북구 화랑로 211, 한성대 벤처창업지원센터 (장위동)한성대 벤처창업지원센터",특화BI ,16,21,67.5,
20,서울특별시,강북구,성신유니콘센터,대학,2023-06-27,"뷰티테크, 문화예술","01133서울특별시 강북구 도봉로76가길 55, B동 1층 (미아동)B동 1층",문화컨텐츠,11,20,84.4,
21,서울특별시,광진구,세종대학교벤처창업보육센터,대학,2000-04-27,"정보통신,디지털콘텐츠,앱개발","05006서울특별시 광진구 능동로 209, 대양AI센터 330호 (군자동)대양AI센터 330호",특화BI ,12,17,83.0,
22,서울특별시,용산구,숙명여대창업보육센터,대학,2010-03-30,"문화콘텐츠,1인창조기업",04310서울특별시 용산구 청파로47길 100백주년기념관 413호,문화컨텐츠,7,32,46.5,70점 미만
