연번,지역,주관기관명,기관구분,주력지원기술분야,주소,상세주소
1,광주,(재)광주정보문화산업진흥원,공공기관,정보·통신,광주광역시 동구 금남로 245,전일빌딩 5층
2,울산,(재)울산경제진흥원,공공기관,기계·소재,울산광역시 남구 옥현로 129,3층(벤처빌딩)
3,전북,한국탄소산업진흥원,공공기관,기계·소재,전북 전주시 덕진구 원만성로,창업보육센터 301호
4,경북,포항공과대학교 산학협력단,대학,정보·통신,경북 포항시 남구 청암로 77,포항공과대학교 인공지능연구원
5,경기,경기창조경제혁신센터,민간  ,정보·통신,경기도 성남시 분당구 대왕판교로645번길 12,5층 (삼평동)
6,경남,경남창조경제혁신센터,민간  ,기계·소재,경상남도 창원시 의창구 창원대로18번길 46,2층 (팔용동) 경남창조경제혁신센터
7,대구,경북대학교 테크노파크,대학,정보·통신,대구광역시 북구 대학로 80,경북대학교 테크노빌딩 109호
8,충북,서원대학교 산학협력단,대학,바이오·의료·생명,충청북도 청주시 서원구 무심서로 377-3(모충동),창의관 302호
9,인천,인천테크노파크,공공기관,전기·전자,인천광역시 미추홀구 경인로 229,인천IT타워 20층
10,경기,재단법인 부천산업진흥원,공공기관,정보·통신,경기도 부천시 원미구 평천로 655,"401동 1503호, 부천테크노파크 (약대동)"
11,서울,한국기술벤처재단,민간  ,정보·통신,서울특별시 성북구 화랑로14길 5,한국과학기술연구원 H-2동 (하월곡동)
12,서울,한국보건산업진흥원,공공기관,바이오·의료·생명,서울특별시 중구 칠패로 36,봉래빌딩3층 보건산업혁신창업센터
13,대전,한국수자원공사,공공기관,정보·통신,대전광역시 대덕구 신탄진로 200,한국수자원공사 (연축동)
