연번,지역,주관기관명,기관구분,주소
1,경기,가천대학교,대학,경기도 성남시 수정구 성남대로 1342
2,강원,가톨릭관동대학교,대학,강원도 강릉시 범일로579번길 24
3,대구,경북대학교,대학, 경북대학교 글로벌플라자 906호
4,서울,고려대학교,대학,서울특별시 성북구 안암로 145
5,광주,광주창조경제혁신센터,민간,광주광역시 서구 경열로 17번길 12
6,경기,단국대학교,대학,경기도 용인시 수지구 죽전로152 
7,대구,대구창조경제혁신센터,민간,대구광역시 북구 호암로 51 
8,부산,동아대학교,대학,부산광역시 사하구 낙동대로 550번길 37
9,부산,부산창조경제혁신센터,민간,부산광역시 해운대구 센텀중앙로 78 
10,서울,서울과학기술대학교,대학,서울특별시 노원구 공릉로 232
11,서울,서울창조경제혁신센터,민간,서울특별시 용산구 한강대로 69
12,경기,수원대학교,대학,경기도 화성시 봉담읍 와우안길17
13,전남,순천대학교,대학,전라남도 순천시 중앙로 255
14,충남,순천향대학교,대학,충청남도 아산시 순천향로 22
15,서울,씨엔티테크(주),민간,서울특별시 은평구 증산로3길 4
16,경남,영산대학교,대학,경상남도 양산시 주남로 288
17,인천,인하대학교,대학,인천광역시 미추홀구 인하로 100 
18,제주,제주대학교 산학협력단,대학,제주특별자치도 제주시 제주대학로 102
19,대전,한국수자원공사,공공,대전광역시 대덕구 신탄진로 200
20,대전,한밭대학교,대학,대전광역시 유성구 동서대로 125
