번호,지역, 시군구,센터명,운영주체별,연락처,주력보육분야,우편번호,주소,상세주소
1,서울특별시,마포구,BM GATE 창업센터,대학,02-6953-9217,"AI, 컨텐츠, 뉴미디어",03925,서울특별시 마포구 월드컵북로 402 (상암동),12층
2,서울특별시,동작구,Creative Business Center,대학,02-820-6587,"바이오, 의학, ICT, 문화예술, 소셜벤처",06974,서울특별시 동작구 흑석로 84 (흑석동),중앙대학교 102관 1002-1호
3,서울특별시,광진구,건국대학교 창업보육센터,대학,02-450-3387,ICT 및 BIO,05029,서울특별시 광진구 능동로 120 (화양동),건국대학교 창의관 210호
4,서울특별시,동대문구,경희창업보육센터,대학,02-6212-9330,"BT(바이오), IT(정보통신)",02455,"서울특별시 동대문구 회기로 111, 홍릉바이오의료창업센터 (회기동)",홍릉바이오의료창업센터
5,서울특별시,성북구,고려대학교 크림슨창업지원단,대학,02-3290-4813,정보통신공학기술,02841,서울특별시 성북구 안암로 145 (안암동5가),고려대학교 CJ식품안전관 103호
6,서울특별시,관악구,관악S밸리 낙성벤처창업센터,공공기관·협단체,02-871-0527,"AI, IT 등",08789,서울특별시 관악구 낙성대로 2 (봉천동),관악S밸리 낙성벤처창업센터
7,서울특별시,노원구,광운창업지원센터,대학,02-940-8512,"ICT, 에너지바이오, 문화콘텐츠",01886,서울특별시 노원구 석계로18길 23,"(월계동, 삼능스페이스향)3층, KW-TIB"
8,서울특별시,성북구,국민대학교 창업보육센터,대학,02-910-5916,4차 산업,02707,서울특별시 성북구 정릉로 77 (정릉동),창업보육센터
9,서울특별시,중구,동국대학교 창업보육센터,대학,02-2088-2132,"플랫폼, AI",04626,서울특별시 중구 퇴계로36길 2 (필동2가),동국대학교 충무로관 본관 820호
10,서울특별시,마포구,마포비즈니스센터,정부·지자체,02-303-2021,정보통신 및 전기전자,03911,서울특별시 마포구 매봉산로 18 (상암동),창업보육센터
11,서울특별시,강남구,벤처리움,공공기관·협단체,02-2015-9111,AI / ICT,06097,서울특별시 강남구 봉은사로 435 (삼성동),한국통신사업자연합회빌딩
12,서울특별시,노원구,삼육대학교 창업보육센터,대학,02-3399-3908,교육용멀티미디어,01795,서울특별시 노원구 화랑로 815,(공릉동) 제1실습관 5층 5019호
